레포지토리,태그,릴리스명,생성일,배포일,생성일(ISO),배포일(ISO),배포년도,배포월,배포일,요일(0-6),주말여부,초안여부,프리릴리스여부,릴리스노트 길이,릴리스노트 존재여부,생성일로부터 배포까지 일수
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.10,@stackflow/plugin-renderer-basic@1.1.10,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:37:14.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-preload@1.3.2,@stackflow/plugin-preload@1.3.2,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:37:05.000Z,2024,7,25,4,false,false,false,143,true,0
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.8,@stackflow/plugin-map-initial-activity@1.0.8,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:37:02.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.5.4,@stackflow/plugin-history-sync@1.5.4,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:36:59.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.12,@stackflow/plugin-google-analytics-4@1.1.12,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:36:53.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-devtools@0.1.10,@stackflow/plugin-devtools@0.1.10,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:36:56.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.2,@stackflow/plugin-basic-ui@1.8.2,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:36:47.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/link@1.4.2,@stackflow/link@1.4.2,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:36:44.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/esbuild-config@1.0.3,@stackflow/esbuild-config@1.0.3,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:37:20.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/core@1.0.13,@stackflow/core@1.0.13,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:36:50.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/compat-await-push@1.1.10,@stackflow/compat-await-push@1.1.10,7/25/2024,7/25/2024,2024-07-25T08:36:39.000Z,2024-07-25T08:36:41.000Z,2024,7,25,4,false,false,false,63,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.1,@stackflow/plugin-basic-ui@1.8.1,7/24/2024,7/24/2024,2024-07-24T03:50:36.000Z,2024-07-24T03:50:38.000Z,2024,7,24,3,false,false,false,84,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.5.3,@stackflow/plugin-history-sync@1.5.3,7/23/2024,7/23/2024,2024-07-23T01:35:16.000Z,2024-07-23T01:35:18.000Z,2024,7,23,2,false,false,false,72,true,0
daangn/stackflow,@stackflow/react@1.1.10,@stackflow/react@1.1.10,7/22/2024,7/22/2024,2024-07-22T05:03:36.000Z,2024-07-22T05:04:13.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-stack-depth-change@1.1.3,@stackflow/plugin-stack-depth-change@1.1.3,7/22/2024,7/22/2024,2024-07-22T05:03:36.000Z,2024-07-22T05:04:10.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-renderer-web@1.1.9,@stackflow/plugin-renderer-web@1.1.9,7/22/2024,7/22/2024,2024-07-22T05:03:36.000Z,2024-07-22T05:04:07.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-renderer-basic@1.1.9,@stackflow/plugin-renderer-basic@1.1.9,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:04:04.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-preload@1.3.1,@stackflow/plugin-preload@1.3.1,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:04:01.000Z,2024,7,22,1,false,false,false,172,true,0
daangn/stackflow,@stackflow/plugin-map-initial-activity@1.0.7,@stackflow/plugin-map-initial-activity@1.0.7,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:55.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.5.2,@stackflow/plugin-history-sync@1.5.2,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:58.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-google-analytics-4@1.1.11,@stackflow/plugin-google-analytics-4@1.1.11,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:49.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-devtools@0.1.9,@stackflow/plugin-devtools@0.1.9,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:52.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.8.0,@stackflow/plugin-basic-ui@1.8.0,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:46.000Z,2024,7,22,1,false,false,false,296,true,0
daangn/stackflow,@stackflow/link@1.4.1,@stackflow/link@1.4.1,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:43.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/esbuild-config@1.0.2,@stackflow/esbuild-config@1.0.2,7/22/2024,7/22/2024,2024-07-22T05:03:36.000Z,2024-07-22T05:04:16.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/core@1.0.12,@stackflow/core@1.0.12,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:37.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/compat-await-push@1.1.9,@stackflow/compat-await-push@1.1.9,7/22/2024,7/22/2024,2024-07-22T05:03:35.000Z,2024-07-22T05:03:40.000Z,2024,7,22,1,false,false,false,92,true,0
daangn/stackflow,@stackflow/plugin-history-sync@1.5.1,@stackflow/plugin-history-sync@1.5.1,7/9/2024,7/9/2024,2024-07-09T09:38:25.000Z,2024-07-09T09:38:29.000Z,2024,7,9,2,false,false,false,94,true,0
daangn/stackflow,@stackflow/core@1.0.11,@stackflow/core@1.0.11,7/9/2024,7/9/2024,2024-07-09T09:38:25.000Z,2024-07-09T09:38:26.000Z,2024,7,9,2,false,false,false,94,true,0
daangn/stackflow,@stackflow/plugin-basic-ui@1.7.0,@stackflow/plugin-basic-ui@1.7.0,5/28/2024,5/28/2024,2024-05-28T01:17:16.000Z,2024-05-28T01:17:17.000Z,2024,5,28,2,false,false,false,117,true,0
